Municipios;Periodo;Total;Nombre_Municipio
01021 Elburgo/Burgelu;2014;41.0;Elburgo/Burgelu
01021 Elburgo/Burgelu;2013;38.0;Elburgo/Burgelu
01021 Elburgo/Burgelu;2012;36.0;Elburgo/Burgelu
01022 Elciego;2024;65.0;Elciego
01022 Elciego;2023;66.0;Elciego
01022 Elciego;2022;74.0;Elciego
01022 Elciego;2021;66.0;Elciego
01022 Elciego;2020;63.0;Elciego
01022 Elciego;2019;62.0;Elciego
01022 Elciego;2018;73.0;Elciego
01022 Elciego;2017;75.0;Elciego
01022 Elciego;2016;80.0;Elciego
01022 Elciego;2015;79.0;Elciego
01022 Elciego;2014;79.0;Elciego
01022 Elciego;2013;85.0;Elciego
01022 Elciego;2012;84.0;Elciego
01023 Elvillar/Bilar;2024;22.0;Elvillar/Bilar
01023 Elvillar/Bilar;2023;23.0;Elvillar/Bilar
01023 Elvillar/Bilar;2022;22.0;Elvillar/Bilar
01023 Elvillar/Bilar;2021;23.0;Elvillar/Bilar
01023 Elvillar/Bilar;2020;26.0;Elvillar/Bilar
01023 Elvillar/Bilar;2019;28.0;Elvillar/Bilar
01023 Elvillar/Bilar;2018;29.0;Elvillar/Bilar
01023 Elvillar/Bilar;2017;28.0;Elvillar/Bilar
01023 Elvillar/Bilar;2016;33.0;Elvillar/Bilar
01023 Elvillar/Bilar;2015;33.0;Elvillar/Bilar
01023 Elvillar/Bilar;2014;34.0;Elvillar/Bilar
01023 Elvillar/Bilar;2013;32.0;Elvillar/Bilar
01023 Elvillar/Bilar;2012;34.0;Elvillar/Bilar
01027 Iruraiz-Gauna;2024;37.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2023;37.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2022;38.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2021;34.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2020;33.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2019;30.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2018;28.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2017;26.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2016;26.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2015;26.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2014;24.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2013;23.0;Iruraiz-Gauna
01027 Iruraiz-Gauna;2012;23.0;Iruraiz-Gauna
01028 Labastida/Bastida;2024;107.0;Labastida/Bastida
01028 Labastida/Bastida;2023;108.0;Labastida/Bastida
01028 Labastida/Bastida;2022;109.0;Labastida/Bastida
01028 Labastida/Bastida;2021;111.0;Labastida/Bastida
01028 Labastida/Bastida;2020;110.0;Labastida/Bastida
01028 Labastida/Bastida;2019;110.0;Labastida/Bastida
01028 Labastida/Bastida;2018;111.0;Labastida/Bastida
01028 Labastida/Bastida;2017;107.0;Labastida/Bastida
01028 Labastida/Bastida;2016;125.0;Labastida/Bastida
01028 Labastida/Bastida;2015;126.0;Labastida/Bastida
01028 Labastida/Bastida;2014;126.0;Labastida/Bastida
01028 Labastida/Bastida;2013;126.0;Labastida/Bastida
01028 Labastida/Bastida;2012;126.0;Labastida/Bastida
01030 Lagrán;2024;14.0;Lagrán
01030 Lagrán;2023;10.0;Lagrán
01030 Lagrán;2022;12.0;Lagrán
01030 Lagrán;2021;10.0;Lagrán
01030 Lagrán;2020;11.0;Lagrán
01030 Lagrán;2019;10.0;Lagrán
01030 Lagrán;2018;10.0;Lagrán
01030 Lagrán;2017;13.0;Lagrán
01030 Lagrán;2016;13.0;Lagrán
01030 Lagrán;2015;13.0;Lagrán
01030 Lagrán;2014;14.0;Lagrán
01030 Lagrán;2013;17.0;Lagrán
01030 Lagrán;2012;16.0;Lagrán
01031 Laguardia;2024;228.0;Laguardia
01031 Laguardia;2023;233.0;Laguardia
01031 Laguardia;2022;259.0;Laguardia
01031 Laguardia;2021;253.0;Laguardia
01031 Laguardia;2020;258.0;Laguardia
01031 Laguardia;2019;265.0;Laguardia
01031 Laguardia;2018;273.0;Laguardia
01031 Laguardia;2017;259.0;Laguardia
01031 Laguardia;2016;276.0;Laguardia
01031 Laguardia;2015;274.0;Laguardia
01031 Laguardia;2014;259.0;Laguardia
01031 Laguardia;2013;249.0;Laguardia
01031 Laguardia;2012;262.0;Laguardia
