Municipios;Periodo;Total
01057 Villabuena de Álava/Eskuernaga;2018;47
01057 Villabuena de Álava/Eskuernaga;2017;48
01057 Villabuena de Álava/Eskuernaga;2016;50
01057 Villabuena de Álava/Eskuernaga;2015;50
01057 Villabuena de Álava/Eskuernaga;2014;51
01057 Villabuena de Álava/Eskuernaga;2013;47
01057 Villabuena de Álava/Eskuernaga;2012;50
01058 Legutio;2024;203
01058 Legutio;2023;197
01058 Legutio;2022;214
01058 Legutio;2021;211
01058 Legutio;2020;221
01058 Legutio;2019;220
01058 Legutio;2018;240
01058 Legutio;2017;235
01058 Legutio;2016;260
01058 Legutio;2015;258
01058 Legutio;2014;271
01058 Legutio;2013;272
01058 Legutio;2012;292
01059 Vitoria-Gasteiz;2024;13.101
01059 Vitoria-Gasteiz;2023;13.032
01059 Vitoria-Gasteiz;2022;13.846
01059 Vitoria-Gasteiz;2021;13.765
01059 Vitoria-Gasteiz;2020;13.943
01059 Vitoria-Gasteiz;2019;13.761
01059 Vitoria-Gasteiz;2018;14.164
01059 Vitoria-Gasteiz;2017;13.657
01059 Vitoria-Gasteiz;2016;14.889
01059 Vitoria-Gasteiz;2015;14.497
01059 Vitoria-Gasteiz;2014;14.685
01059 Vitoria-Gasteiz;2013;15.126
01059 Vitoria-Gasteiz;2012;15.543
01060 Yécora/Iekora;2024;15
01060 Yécora/Iekora;2023;14
01060 Yécora/Iekora;2022;13
01060 Yécora/Iekora;2021;14
01060 Yécora/Iekora;2020;14
01060 Yécora/Iekora;2019;15
01060 Yécora/Iekora;2018;14
01060 Yécora/Iekora;2017;13
01060 Yécora/Iekora;2016;16
01060 Yécora/Iekora;2015;15
01060 Yécora/Iekora;2014;14
01060 Yécora/Iekora;2013;14
01060 Yécora/Iekora;2012;22
01061 Zalduondo;2024;11
01061 Zalduondo;2023;10
01061 Zalduondo;2022;12
01061 Zalduondo;2021;12
01061 Zalduondo;2020;13
01061 Zalduondo;2019;13
01061 Zalduondo;2018;11
01061 Zalduondo;2017;11
01061 Zalduondo;2016;12
01061 Zalduondo;2015;12
01061 Zalduondo;2014;13
01061 Zalduondo;2013;12
01061 Zalduondo;2012;9
01062 Zambrana;2024;18
01062 Zambrana;2023;22
01062 Zambrana;2022;23
01062 Zambrana;2021;23
01062 Zambrana;2020;24
01062 Zambrana;2019;20
01062 Zambrana;2018;21
01062 Zambrana;2017;22
01062 Zambrana;2016;18
01062 Zambrana;2015;18
01062 Zambrana;2014;17
01062 Zambrana;2013;18
01062 Zambrana;2012;21
01063 Zuia;2024;140
01063 Zuia;2023;145
01063 Zuia;2022;161
01063 Zuia;2021;152
01063 Zuia;2020;159
01063 Zuia;2019;160
01063 Zuia;2018;150
01063 Zuia;2017;144
01063 Zuia;2016;156
01063 Zuia;2015;154
01063 Zuia;2014;146
01063 Zuia;2013;151
01063 Zuia;2012;148
01901 Iruña Oka/Iruña de Oca;2024;212
01901 Iruña Oka/Iruña de Oca;2023;205
01901 Iruña Oka/Iruña de Oca;2022;220
01901 Iruña Oka/Iruña de Oca;2021;209
01901 Iruña Oka/Iruña de Oca;2020;206
01901 Iruña Oka/Iruña de Oca;2019;201
01901 Iruña Oka/Iruña de Oca;2018;200
01901 Iruña Oka/Iruña de Oca;2017;189
01901 Iruña Oka/Iruña de Oca;2016;196
01901 Iruña Oka/Iruña de Oca;2015;193
01901 Iruña Oka/Iruña de Oca;2014;196
01901 Iruña Oka/Iruña de Oca;2013;195
01901 Iruña Oka/Iruña de Oca;2012;195
01902 Lantarón;2024;61
01902 Lantarón;2023;54
01902 Lantarón;2022;64
01902 Lantarón;2021;66
01902 Lantarón;2020;67
01902 Lantarón;2019;65
01902 Lantarón;2018;65
01902 Lantarón;2017;55
01902 Lantarón;2016;61
01902 Lantarón;2015;61
01902 Lantarón;2014;62
01902 Lantarón;2013;64
01902 Lantarón;2012;63
02001 Abengibre;2024;44
02001 Abengibre;2023;45
